feature_index,feature_name,feature_group,feature_mode,pass_name,scope,edge_source,edge_target,mdi_importance,permutation_mean,permutation_std,mdi_rank,permutation_rank
23,synergy_rate,synergy,lite,,,,,0.21314371280371516,0.005700808799919505,0.003141271531275131,1,1
0,pass_freq:module(elim-avail-extern),pass_freq,lite,module(elim-avail-extern),module,,,0.1542866623469042,0.004608861752671048,0.002103049878341549,2,2
3,pass_freq:module(scc-oz-module-inliner),pass_freq,lite,module(scc-oz-module-inliner),module,,,0.06949440577363172,0.0018573756978571831,0.0011076466879122024,4,3
1,pass_freq:module(globalopt),pass_freq,lite,module(globalopt),module,,,0.062262152405346945,0.0015444618502577097,0.00042644096612270277,6,4
27,scope_ratio:function,scope_ratio,lite,,function,,,0.060898070051710176,0.0013954829296433716,0.0008410227078685867,7,5
26,scope_ratio:module,scope_ratio,lite,,module,,,0.05714683864232122,0.0003497618402984546,0.0006776303414734412,8,6
4,pass_freq:function(mem2reg),pass_freq,lite,function(mem2reg),function,,,0.010960812869363578,0.00031130191662712587,0.0004213579688827235,17,7
5,pass_freq:function(instsimplify),pass_freq,lite,function(instsimplify),function,,,0.0059022353884560464,0.00026220187934791197,0.0003278963377101323,19,8
15,pass_freq:function(gvn-sink),pass_freq,lite,function(gvn-sink),function,,,0.006275466171475876,0.000125816058777491,0.00018126132463822036,18,9
28,scope_ratio:cgscc,scope_ratio,lite,,cgscc,,,0.0034511055948629518,8.184854306121647e-05,5.48970678037344e-05,24,10
2,pass_freq:cgscc(attributor-cgscc),pass_freq,lite,cgscc(attributor-cgscc),cgscc,,,0.004456146962241831,7.026963544345572e-05,0.00012991281884327423,20,11
16,pass_freq:module(inferattrs),pass_freq,lite,module(inferattrs),module,,,0.0006296480837944971,1.64438888880538e-05,2.0433985455322957e-05,30,12
17,pass_freq:loop(loop-simplifycfg),pass_freq,lite,loop(loop-simplifycfg),loop,,,0.0010046660814135812,8.12606771458807e-08,3.956986488355009e-06,29,13
30,scope_ratio:other,scope_ratio,lite,,other,,,0.0,0.0,0.0,31,14
29,scope_ratio:loop,scope_ratio,lite,,loop,,,0.003992969150217193,-2.5511276176979485e-06,2.4985524045866027e-05,22,15
25,self_loop_coverage,self_loop,lite,,,,,0.0021135823513196467,-3.0988495721896716e-06,6.803157751057297e-05,28,16
20,pass_coverage,sequence_shape,lite,,,,,0.10410235599553469,-1.7269137309502967e-05,0.0012806049291857681,3,17
13,pass_freq:function(dse),pass_freq,lite,function(dse),function,,,0.003928689694829619,-6.2606299181895e-05,7.498180039570451e-05,23,18
11,pass_freq:function(jump-threading),pass_freq,lite,function(jump-threading),function,,,0.013121744090450936,-8.530318421275628e-05,0.00013600366946838317,15,19
9,pass_freq:function(gvn-hoist),pass_freq,lite,function(gvn-hoist),function,,,0.00288842699257319,-9.406108026055078e-05,5.617272240927824e-05,25,20
12,pass_freq:module(attributor),pass_freq,lite,module(attributor),module,,,0.004349670986862839,-9.516405170858118e-05,8.422118306805871e-05,21,21
18,pass_freq:function(lower-switch),pass_freq,lite,function(lower-switch),function,,,0.02137793754900395,-9.900989636224926e-05,0.00015765557843224476,12,22
21,repeat_mass_ratio,sequence_shape,lite,,,,,0.022255022145975606,-0.00014338199042717993,0.00014435803572286315,11,23
7,pass_freq:function(reassociate),pass_freq,lite,function(reassociate),function,,,0.0027523478863366664,-0.00014417406898488416,7.728819757181311e-05,26,24
10,pass_freq:function(dce),pass_freq,lite,function(dce),function,,,0.015954744033434016,-0.00015795634106533456,0.001064840560463251,13,25
8,pass_freq:function(memcpyopt),pass_freq,lite,function(memcpyopt),function,,,0.002253848589425225,-0.00016972593075668466,5.417337335888673e-05,27,26
19,seq_len_ratio,sequence_shape,lite,,,,,0.06798441819827045,-0.00023525386924075267,0.0007305425968717954,5,27
14,pass_freq:function(newgvn),pass_freq,lite,function(newgvn),function,,,0.010964638502162193,-0.0003805880843364305,0.0002656610798000848,16,28
6,pass_freq:module(iroutliner),pass_freq,lite,module(iroutliner),module,,,0.014919688434626854,-0.000384763954695711,0.0004790154916276693,14,29
22,max_repeat_ratio,sequence_shape,lite,,,,,0.023168027650721505,-0.00046590811086049,0.0003926873171470196,10,30
24,self_loop_hit_rate,self_loop,lite,,,,,0.033959964573017684,-0.0006885840887754779,0.0003675177195184689,9,31
