feature_group,feature_count,mdi_sum,mdi_mean,permutation_sum,permutation_mean,mdi_rank,permutation_rank
pass_freq,19,0.4077839328423338,0.021462312254859672,0.007123461048982048,0.0003749190025780025,1,1
synergy,1,0.21314371280371516,0.21314371280371516,0.005700808799919505,0.005700808799919505,3,2
scope_ratio,5,0.12548898343911152,0.025097796687822305,0.0018245421853853446,0.0003649084370770689,4,3
self_loop,2,0.036073546924337334,0.018036773462168667,-0.0006916829383476676,-0.0003458414691738338,5,4
sequence_shape,4,0.21750982399050225,0.054377455997625564,-0.0008618131078379256,-0.0002154532769594814,2,5
