feature_group,feature_count,mdi_sum,mdi_mean,permutation_sum,permutation_mean,mdi_rank,permutation_rank
pass_freq,19,0.4832017633269933,0.025431671754052282,0.007245167517291104,0.000381324606173216,1,1
scope_ratio,5,0.1914809028162127,0.038296180563242535,0.002783591543811231,0.0005567183087622462,2,2
synergy,1,0.09572168618811884,0.09572168618811884,0.002607123789174889,0.002607123789174889,4,3
sequence_shape,4,0.15513218128957093,0.03878304532239273,-0.0004013482423522402,-0.00010033706058806005,3,4
self_loop,2,0.07446346637910418,0.03723173318955209,-0.000434540572375294,-0.000217270286187647,5,5
