feature_index,feature_name,feature_group,feature_mode,pass_name,scope,edge_source,edge_target,mdi_importance,permutation_mean,permutation_std,mdi_rank,permutation_rank
0,pass_freq:module(elim-avail-extern),pass_freq,lite,module(elim-avail-extern),module,,,0.23189068845804964,0.003930675462422333,0.0020970169851982877,1,1
23,synergy_rate,synergy,lite,,,,,0.09572168618811884,0.002607123789174889,0.0013417989408465746,2,2
5,pass_freq:module(scc-oz-module-inliner),pass_freq,lite,module(scc-oz-module-inliner),module,,,0.07426787261100468,0.002530191210823338,0.0004263121456516339,6,3
27,scope_ratio:function,scope_ratio,lite,,function,,,0.07781702899152443,0.0014628359544401886,0.0005573233149522898,5,4
26,scope_ratio:module,scope_ratio,lite,,module,,,0.09499204181761102,0.0014138146199105003,0.00043003655135853057,3,5
3,pass_freq:module(globalopt),pass_freq,lite,module(globalopt),module,,,0.05372256651470809,0.0005854927917896248,0.000624627798289156,8,6
14,pass_freq:function(gvn-sink),pass_freq,lite,function(gvn-sink),function,,,0.031010159468542124,0.00035249654550561485,0.0004884075704260036,9,7
1,pass_freq:function(mem2reg),pass_freq,lite,function(mem2reg),function,,,0.013421277350594207,0.0003281887968294386,9.129863291174461e-05,14,8
20,pass_coverage,sequence_shape,lite,,,,,0.02266638186721766,0.00011106991251963183,0.0002235190536952148,11,9
22,max_repeat_ratio,sequence_shape,lite,,,,,0.021269396585466584,7.985955456389862e-05,0.00021652565140577415,13,10
4,pass_freq:module(attributor),pass_freq,lite,module(attributor),module,,,0.02197230925319357,4.811038341981013e-05,0.00028120280755356426,12,11
13,pass_freq:function(newgvn),pass_freq,lite,function(newgvn),function,,,0.003199376503117494,2.028504728867758e-05,3.4853924569797757e-05,25,12
17,pass_freq:loop(loop-simplifycfg),pass_freq,lite,loop(loop-simplifycfg),loop,,,0.0032696514337808872,1.6551465960044574e-05,5.883580001441149e-05,24,13
9,pass_freq:function(reassociate),pass_freq,lite,function(reassociate),function,,,0.002116736167233922,8.42256345423755e-06,1.2516218739993251e-05,28,14
28,scope_ratio:cgscc,scope_ratio,lite,,cgscc,,,0.007471711900695249,8.227079996097307e-06,8.072036619205255e-05,19,15
11,pass_freq:cgscc(attributor-cgscc),pass_freq,lite,cgscc(attributor-cgscc),cgscc,,,0.0020480658712737987,1.6843589491753047e-06,1.4503963200974402e-05,29,16
30,scope_ratio:other,scope_ratio,lite,,other,,,0.0,0.0,0.0,31,17
7,pass_freq:function(gvn-hoist),pass_freq,lite,function(gvn-hoist),function,,,0.00243971638842115,-4.690577377546024e-06,7.381727081285703e-05,27,18
18,pass_freq:function(lower-switch),pass_freq,lite,function(lower-switch),function,,,0.0005850013212033895,-5.797641643542732e-06,1.5820161171767434e-05,30,19
6,pass_freq:function(instsimplify),pass_freq,lite,function(instsimplify),function,,,0.005555873617904805,-1.4966683716346325e-05,9.112599516034201e-05,21,20
15,pass_freq:module(inferattrs),pass_freq,lite,module(inferattrs),module,,,0.002504410480468969,-1.7786592509483682e-05,2.3526470751309585e-05,26,21
16,pass_freq:function(jump-threading),pass_freq,lite,function(jump-threading),function,,,0.005282354990167221,-2.2463269941000625e-05,2.954404426853611e-05,22,22
8,pass_freq:function(memcpyopt),pass_freq,lite,function(memcpyopt),function,,,0.011178496764101735,-8.39179807313184e-05,8.182205947218913e-05,17,23
12,pass_freq:function(dce),pass_freq,lite,function(dce),function,,,0.005072260915017693,-9.336254811753933e-05,5.9291098312180905e-05,23,24
10,pass_freq:module(iroutliner),pass_freq,lite,module(iroutliner),module,,,0.005905702275586949,-9.658076961730662e-05,9.622199140779498e-05,20,25
29,scope_ratio:loop,scope_ratio,lite,,loop,,,0.011200120106382003,-0.00010128611053555545,0.00015381363121002445,16,26
25,self_loop_coverage,self_loop,lite,,,,,0.012099630855801997,-0.00017411325647979388,0.00017741816067949804,15,27
2,pass_freq:function(dse),pass_freq,lite,function(dse),function,,,0.007759242942623035,-0.00023736504549710588,0.00010557055989025861,18,28
24,self_loop_hit_rate,self_loop,lite,,,,,0.06236383552330219,-0.0002604273158955001,0.00048581096126064057,7,29
21,repeat_mass_ratio,sequence_shape,lite,,,,,0.02970713778627259,-0.00027249239704422274,0.00024400870190301147,10,30
19,seq_len_ratio,sequence_shape,lite,,,,,0.0814892650506141,-0.0003197853123915479,0.0003767117546330913,4,31
