selection_split,counterfactual_split,pass_name,mutation,status,error,original_objective,mutated_objective,delta_objective,original_mean_norm,mutated_mean_norm,delta_mean_norm,original_worsen_rate,mutated_worsen_rate,delta_worsen_rate,mutated_sequence
validation,selection,module(elim-avail-extern),delete_first,ok,,0.7349201026281709,1.0320958498004544,0.29717574717228357,0.7214201026281709,0.9690958498004544,0.24767574717228347,0.09,0.42,0.32999999999999996,"['module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)']"
validation,selection,module(elim-avail-extern),duplicate_after_first,ok,,0.7349201026281709,0.7349201026281709,0.0,0.7214201026281709,0.7214201026281709,0.0,0.09,0.09,0.0,"['module(elim-avail-extern)', 'module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)']"
validation,selection,module(elim-avail-extern),append_once,ok,,0.7349201026281709,0.7349201026281709,0.0,0.7214201026281709,0.7214201026281709,0.0,0.09,0.09,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(elim-avail-extern)']"
validation,selection,module(scc-oz-module-inliner),delete_first,ok,,0.7349201026281709,1.3031707473265546,0.5682506446983837,0.7214201026281709,1.1921707473265546,0.4707506446983837,0.09,0.74,0.65,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)']"
validation,selection,module(scc-oz-module-inliner),duplicate_after_first,ok,,0.7349201026281709,0.7264110567519583,-0.008509045876212595,0.7214201026281709,0.7129110567519583,-0.008509045876212595,0.09,0.09,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(scc-oz-module-inliner)']"
validation,selection,module(globalopt),delete_first,ok,,0.7349201026281709,0.903692515866177,0.16877241323800618,0.7214201026281709,0.861692515866177,0.1402724132380061,0.09,0.28,0.19000000000000003,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)']"
validation,selection,module(globalopt),duplicate_after_first,ok,,0.7349201026281709,0.7349201026281709,0.0,0.7214201026281709,0.7214201026281709,0.0,0.09,0.09,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)']"
validation,selection,module(globalopt),append_once,ok,,0.7349201026281709,0.7327047180127864,-0.002215384615384508,0.7214201026281709,0.7192047180127864,-0.002215384615384508,0.09,0.09,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(globalopt)']"
validation,selection,function(gvn-sink),delete_first,ok,,0.7349201026281709,0.7302867424142434,-0.004633360213927462,0.7214201026281709,0.7152867424142434,-0.006133360213927519,0.09,0.1,0.010000000000000009,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)']"
validation,selection,function(gvn-sink),duplicate_after_first,ok,,0.7349201026281709,0.7349201026281709,0.0,0.7214201026281709,0.7214201026281709,0.0,0.09,0.09,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)']"
validation,selection,function(gvn-sink),append_once,ok,,0.7349201026281709,0.7349201026281709,0.0,0.7214201026281709,0.7214201026281709,0.0,0.09,0.09,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'function(gvn-sink)']"
validation,selection,function(mem2reg),append_once,ok,,0.7349201026281709,0.7349201026281709,0.0,0.7214201026281709,0.7214201026281709,0.0,0.09,0.09,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(attributor)', 'function(jump-threading)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'module(attributor)', 'function(dse)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'function(mem2reg)']"
