tag,backend_profile,matched_baseline,suite,benchmark,seed,run_id,pipeline_label,pipeline_kind,repeat_index,status,polybench_seconds,wall_seconds,timeout_used,censored,binary_path,optimized_ir_path,stdout_path,stderr_path,error
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,2mm,464,20260423_230444_536999_feature_lite_seed464,universal,rfunipass,1,failed,,,11.533495,True,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/2mm/464/universal/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/2mm/464/universal/universal_58aea292ea66.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/2mm/464/universal/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/2mm/464/universal/runs/run_001/stderr.txt,runtime timeout after 11.533495s
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,2mm,465,20260423_231957_016941_feature_lite_seed465,universal,rfunipass,1,ok,1778379810.489029,2.3810787280090153,11.533495,False,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/2mm/465/universal/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/2mm/465/universal/universal_e2fa59514181.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/2mm/465/universal/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/2mm/465/universal/runs/run_001/stderr.txt,
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,3mm,,,none,baseline,1,ok,9.226609,9.277587647084147,300.0,False,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/baseline/none/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/baseline/none/none_71f8e7976e4c.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/baseline/none/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/baseline/none/runs/run_001/stderr.txt,
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,3mm,,,oz,baseline,1,ok,3.036075,3.060024468926713,300.0,False,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/baseline/oz/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/baseline/oz/oz_d135b696b0fd.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/baseline/oz/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/baseline/oz/runs/run_001/stderr.txt,
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,3mm,456,20260423_181846_349217_feature_lite_seed456,universal,rfunipass,1,failed,,,15.180375,True,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/456/universal/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/456/universal/universal_1dd8ea870347.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/456/universal/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/456/universal/runs/run_001/stderr.txt,runtime timeout after 15.180375s
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,3mm,457,20260423_184811_146360_feature_lite_seed457,universal,rfunipass,1,failed,,,15.180375,True,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/457/universal/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/457/universal/universal_468197d7c679.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/457/universal/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/457/universal/runs/run_001/stderr.txt,runtime timeout after 15.180375s
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,3mm,458,20260423_193326_468019_feature_lite_seed458,universal,rfunipass,1,failed,,,15.180375,True,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/458/universal/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/458/universal/universal_bac1dd97c06b.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/458/universal/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/458/universal/runs/run_001/stderr.txt,runtime timeout after 15.180375s
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,3mm,459,20260423_203402_518521_feature_lite_seed459,universal,rfunipass,1,ok,3.033017,3.068104339996353,15.180375,False,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/459/universal/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/459/universal/universal_6d5271a22f91.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/459/universal/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/459/universal/runs/run_001/stderr.txt,
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,3mm,460,20260423_205014_703926_feature_lite_seed460,universal,rfunipass,1,failed,,,15.180375,True,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/460/universal/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/460/universal/universal_aa7d5985738b.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/460/universal/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/460/universal/runs/run_001/stderr.txt,runtime timeout after 15.180375s
external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510,oz,oz,polybench,3mm,461,20260423_211628_575222_feature_lite_seed461,universal,rfunipass,1,ok,3.119285,3.148599602980539,15.180375,False,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/461/universal/a.out,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/461/universal/universal_c3b20e7655ed.ll,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/461/universal/runs/run_001/stdout.txt,/root/exp/RFunipassLab/external_datasets/build/runtime_matched/external_runtime_polybench10_wrap_10seeds_backend_oz_repeat1_adaptive5_20260510/oz/polybench/3mm/461/universal/runs/run_001/stderr.txt,
