seed,suite,benchmark,pipeline_label,repeat_count,polybench_seconds_mean,polybench_seconds_median,polybench_seconds_std,polybench_seconds_ci95,wall_seconds_mean,wall_seconds_median
456,polybench_full,2mm,universal,1,11.633880000000001,11.633880000000001,0.0,0.0,11.633880000000001,11.633880000000001
456,polybench_full,3mm,universal,1,15.278985,15.278985,0.0,0.0,15.278985,15.278985
456,polybench_full,adi,universal,1,74.09491,74.09491,0.0,0.0,74.09491,74.09491
456,polybench_full,atax,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
456,polybench_full,correlation,universal,1,5.493778,5.493778,0.0,0.0,5.516990935895592,5.516990935895592
456,polybench_full,covariance,universal,1,5.616153,5.616153,0.0,0.0,5.635710120899603,5.635710120899603
456,polybench_full,deriche,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
456,polybench_full,doitgen,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
456,polybench_full,durbin,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
456,polybench_full,fdtd-2d,universal,1,10.576925,10.576925,0.0,0.0,10.576925,10.576925
456,polybench_full,floyd-warshall,universal,1,74.372925,74.372925,0.0,0.0,74.372925,74.372925
456,polybench_full,gemm,universal,1,6.03004,6.03004,0.0,0.0,6.03004,6.03004
456,polybench_full,gemver,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
456,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
456,polybench_full,gramschmidt,universal,1,6.774058,6.774058,0.0,0.0,6.80112000904046,6.80112000904046
456,polybench_full,heat-3d,universal,1,16.205325,16.205325,0.0,0.0,16.205325,16.205325
456,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
456,polybench_full,jacobi-2d,universal,1,9.24978,9.24978,0.0,0.0,9.24978,9.24978
456,polybench_full,ludcmp,universal,1,4.65109,4.65109,0.0,0.0,20.328863848000765,20.328863848000765
456,polybench_full,nussinov,universal,1,3.325257,3.325257,0.0,0.0,3.350057950010523,3.350057950010523
456,polybench_full,syr2k,universal,1,14.690655,14.690655,0.0,0.0,14.690655,14.690655
456,polybench_full,syrk,universal,1,5.082585,5.082585,0.0,0.0,5.082585,5.082585
456,polybench_full,trisolv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
