seed,suite,benchmark,pipeline_label,repeat_count,polybench_seconds_mean,polybench_seconds_median,polybench_seconds_std,polybench_seconds_ci95,wall_seconds_mean,wall_seconds_median
461,polybench,lu,universal,1,7.040124,7.040124,0.0,0.0,29.64814076712355,29.64814076712355
461,polybench,nussinov,universal,1,3.540331,3.540331,0.0,0.0,3.5621964200399816,3.5621964200399816
462,polybench,2mm,universal,1,11.533495,11.533495,0.0,0.0,11.533495,11.533495
462,polybench,3mm,universal,1,15.180375,15.180375,0.0,0.0,15.180375,15.180375
462,polybench,correlation,universal,1,5.777464,5.777464,0.0,0.0,5.798236809205264,5.798236809205264
462,polybench,heat-3d,universal,1,15.99875,15.99875,0.0,0.0,15.99875,15.99875
462,polybench,nussinov,universal,1,3.582779,3.582779,0.0,0.0,3.6092118099331856,3.6092118099331856
463,polybench,2mm,universal,1,11.533495,11.533495,0.0,0.0,11.533495,11.533495
463,polybench,3mm,universal,1,15.180375,15.180375,0.0,0.0,15.180375,15.180375
463,polybench,cholesky,universal,1,20.610979999999998,20.610979999999998,0.0,0.0,20.610979999999998,20.610979999999998
463,polybench,correlation,universal,1,27.316284999999997,27.316284999999997,0.0,0.0,27.316284999999997,27.316284999999997
463,polybench,covariance,universal,1,27.437450000000002,27.437450000000002,0.0,0.0,27.437450000000002,27.437450000000002
463,polybench,heat-3d,universal,1,15.99875,15.99875,0.0,0.0,15.99875,15.99875
463,polybench,jacobi-2d,universal,1,9.20295,9.20295,0.0,0.0,9.20295,9.20295
463,polybench,lu,universal,1,45.185265,45.185265,0.0,0.0,45.185265,45.185265
463,polybench,nussinov,universal,1,3.564212,3.564212,0.0,0.0,3.592611120082438,3.592611120082438
463,polybench,symm,universal,1,10.019655,10.019655,0.0,0.0,10.019655,10.019655
464,polybench,2mm,universal,1,11.533495,11.533495,0.0,0.0,11.533495,11.533495
464,polybench,3mm,universal,1,15.180375,15.180375,0.0,0.0,15.180375,15.180375
464,polybench,correlation,universal,1,5.455161,5.455161,0.0,0.0,5.476145199034363,5.476145199034363
464,polybench,covariance,universal,1,5.674478,5.674478,0.0,0.0,5.699034899007529,5.699034899007529
464,polybench,heat-3d,universal,1,15.99875,15.99875,0.0,0.0,15.99875,15.99875
464,polybench,jacobi-2d,universal,1,9.20295,9.20295,0.0,0.0,9.20295,9.20295
464,polybench,nussinov,universal,1,3.389975,3.389975,0.0,0.0,3.4153508748859167,3.4153508748859167
465,polybench,2mm,universal,1,1778379810.489029,1778379810.489029,0.0,0.0,2.3810787280090153,2.3810787280090153
465,polybench,3mm,universal,1,1778379959.340348,1778379959.340348,0.0,0.0,3.0675574550405145,3.0675574550405145
465,polybench,correlation,universal,1,5.154095,5.154095,0.0,0.0,5.165949257090688,5.165949257090688
465,polybench,covariance,universal,1,27.437450000000002,27.437450000000002,0.0,0.0,27.437450000000002,27.437450000000002
465,polybench,heat-3d,universal,1,1778380628.364501,1778380628.364501,0.0,0.0,3.298620262881741,3.298620262881741
465,polybench,nussinov,universal,1,3.402714,3.402714,0.0,0.0,3.419736536918208,3.419736536918208
