seed,program_count,finite_ratio_count,geomean_ratio_vs_o3,mean_ratio_vs_o3,median_ratio_vs_o3,speedup_vs_o3,geomean_ratio_vs_none,improved,tied,worsened,timeout,invalid,worsen_rate,invalid_rate,worsen_or_invalid_rate
456,30,24,13.930932482461904,305.18182953697925,5.0,0.07178270379667205,6.966680844192955,1,1,22,18,6,0.7333333333333333,0.2,0.9333333333333333
457,30,24,16.74185592353788,305.6631065166849,5.0,0.05973053433066939,8.527904785957528,1,0,23,21,6,0.7666666666666667,0.2,0.9666666666666667
458,30,18,18.4980699854268,325.30726710682893,5.9647873659993484,0.05405969383767186,9.46694135591467,0,0,18,15,12,0.6,0.4,1.0
459,30,19,5.432908292852354,347.9487333552288,1.1231875996588423,0.18406347872936132,2.875049022050757,1,3,15,5,11,0.5,0.36666666666666664,0.8666666666666667
460,30,11,15.467199122861702,470.16863557901956,5.0,0.0646529466684064,8.623101410716586,0,0,11,7,19,0.36666666666666664,0.6333333333333333,1.0
461,30,22,2.598410386922021,201.78376866852344,1.0733419193101237,0.38485067833513487,1.2525332901724886,5,2,15,5,8,0.5,0.26666666666666666,0.7666666666666667
462,30,18,24.97286754674799,405.79248878054284,6.665285180415162,0.04004345909127371,12.125950471176193,0,0,18,15,12,0.6,0.4,1.0
463,30,28,12.996297636784673,160.07217029123197,5.0,0.07694499063868802,7.0179120562226895,1,0,27,26,2,0.9,0.06666666666666667,0.9666666666666667
464,30,24,10.247776245260786,224.32742920920418,5.0,0.09758214622049956,5.124781600464493,1,0,23,17,6,0.7666666666666667,0.2,0.9666666666666667
465,30,19,538057.7982060778,12918851523.15107,147622266.2572722,1.8585363939228643e-06,274164.0075535565,0,0,19,6,11,0.6333333333333333,0.36666666666666664,1.0
