feature_group,feature_count,mdi_sum,mdi_mean,permutation_sum,permutation_mean,mdi_rank,permutation_rank
pass_freq,19,0.5607403363408402,0.029512649281096853,0.007696933807447166,0.0004051017793393245,1,1
scope_ratio,5,0.22357563783822823,0.044715127567645646,0.002087922178995458,0.0004175844357990916,2,2
synergy,1,0.0779463194178361,0.0779463194178361,0.0020689513346405027,0.0020689513346405027,4,3
self_loop,2,0.020552697615218843,0.010276348807609421,-0.00031238395395998073,-0.00015619197697999037,5,4
sequence_shape,4,0.11718500878787672,0.02929625219696918,-0.0018870206950883281,-0.00047175517377208204,3,5
