index,synerpair
117,"('function(gvn-hoist)', 'function(instsimplify)')"
118,"('function(gvn-hoist)', 'function(jump-threading)')"
119,"('function(gvn-hoist)', 'function(mem2reg)')"
120,"('function(gvn-hoist)', 'function(memcpyopt)')"
121,"('function(gvn-hoist)', 'function(reassociate)')"
122,"('module(attributor)', 'module(scc-oz-module-inliner)')"
123,"('cgscc(attributor-cgscc)', 'module(scc-oz-module-inliner)')"
124,"('module(elim-avail-extern)', 'module(attributor)')"
125,"('module(globalopt)', 'module(attributor)')"
126,"('function(lower-switch)', 'module(attributor)')"
127,"('module(attributor)', 'module(elim-avail-extern)')"
128,"('module(globalopt)', 'module(elim-avail-extern)')"
129,"('module(iroutliner)', 'module(elim-avail-extern)')"
130,"('module(scc-oz-module-inliner)', 'module(elim-avail-extern)')"
131,"('cgscc(attributor-cgscc)', 'module(elim-avail-extern)')"
132,"('function(dse)', 'module(elim-avail-extern)')"
133,"('function(gvn-sink)', 'module(elim-avail-extern)')"
134,"('function(jump-threading)', 'module(elim-avail-extern)')"
135,"('function(mem2reg)', 'module(elim-avail-extern)')"
136,"('function(newgvn)', 'module(elim-avail-extern)')"
137,"('module(attributor)', 'module(globalopt)')"
138,"('module(elim-avail-extern)', 'module(globalopt)')"
139,"('module(iroutliner)', 'module(globalopt)')"
140,"('module(scc-oz-module-inliner)', 'module(globalopt)')"
141,"('cgscc(attributor-cgscc)', 'module(globalopt)')"
142,"('function(dse)', 'module(globalopt)')"
143,"('function(gvn-sink)', 'module(globalopt)')"
144,"('function(jump-threading)', 'module(globalopt)')"
145,"('function(mem2reg)', 'module(globalopt)')"
146,"('function(newgvn)', 'module(globalopt)')"
147,"('module(elim-avail-extern)', 'module(iroutliner)')"
148,"('module(globalopt)', 'module(iroutliner)')"
149,"('function(dse)', 'module(iroutliner)')"
150,"('function(gvn-sink)', 'module(iroutliner)')"
151,"('function(jump-threading)', 'module(iroutliner)')"
152,"('module(elim-avail-extern)', 'module(scc-oz-module-inliner)')"
153,"('module(inferattrs)', 'module(scc-oz-module-inliner)')"
154,"('module(elim-avail-extern)', 'cgscc(attributor-cgscc)')"
155,"('module(globalopt)', 'cgscc(attributor-cgscc)')"
156,"('module(iroutliner)', 'cgscc(attributor-cgscc)')"
157,"('function(lower-switch)', 'cgscc(attributor-cgscc)')"
158,"('module(elim-avail-extern)', 'function(dse)')"
159,"('module(globalopt)', 'function(dse)')"
160,"('module(iroutliner)', 'function(dse)')"
161,"('module(attributor)', 'function(gvn-sink)')"
162,"('module(elim-avail-extern)', 'function(gvn-sink)')"
163,"('module(globalopt)', 'function(gvn-sink)')"
164,"('module(iroutliner)', 'function(gvn-sink)')"
165,"('module(scc-oz-module-inliner)', 'function(gvn-sink)')"
166,"('cgscc(attributor-cgscc)', 'function(gvn-sink)')"
167,"('function(dse)', 'function(gvn-sink)')"
168,"('function(jump-threading)', 'function(gvn-sink)')"
169,"('function(mem2reg)', 'function(gvn-sink)')"
170,"('function(newgvn)', 'function(gvn-sink)')"
171,"('loop(loop-simplifycfg)', 'function(gvn-sink)')"
172,"('module(elim-avail-extern)', 'function(jump-threading)')"
173,"('function(gvn-sink)', 'function(jump-threading)')"
174,"('module(elim-avail-extern)', 'function(mem2reg)')"
175,"('module(globalopt)', 'function(mem2reg)')"
176,"('module(elim-avail-extern)', 'function(newgvn)')"
177,"('module(globalopt)', 'function(newgvn)')"
178,"('function(gvn-sink)', 'function(newgvn)')"
