feature_index,feature_name,feature_group,feature_mode,pass_name,scope,edge_source,edge_target,mdi_importance,permutation_mean,permutation_std,mdi_rank,permutation_rank
2,pass_freq:module(elim-avail-extern),pass_freq,lite,module(elim-avail-extern),module,,,0.1275208512956513,0.00570727596232561,0.0018552223683322151,1,1
14,pass_freq:module(scc-oz-module-inliner),pass_freq,lite,module(scc-oz-module-inliner),module,,,0.07157133705756419,0.0014489663624343402,0.0006458232950551144,4,2
20,pass_coverage,sequence_shape,lite,,,,,0.049255989411550495,0.0013261723694962782,0.0011672972293907363,10,3
27,scope_ratio:function,scope_ratio,lite,,function,,,0.1231242065132916,0.0012500984980837637,0.0008879712091456831,2,4
24,self_loop_hit_rate,self_loop,lite,,,,,0.057984890499531865,0.000901216850682179,0.000740550430860783,8,5
23,synergy_rate,synergy,lite,,,,,0.11402670577894505,0.0006547693524685795,0.0012586153890530645,3,6
15,pass_freq:function(reassociate),pass_freq,lite,function(reassociate),function,,,0.030653913725147846,0.00026496752730591975,0.0005476037845167146,11,7
4,pass_freq:function(mem2reg),pass_freq,lite,function(mem2reg),function,,,0.020247092261617097,0.0002512499089934627,0.000175460399057679,13,8
0,pass_freq:function(newgvn),pass_freq,lite,function(newgvn),function,,,0.013760249154927965,7.567065075176279e-05,0.0003179051319438128,16,9
13,pass_freq:function(gvn-hoist),pass_freq,lite,function(gvn-hoist),function,,,0.004106774867484791,4.2243141720088236e-05,6.248228507370754e-05,25,10
10,pass_freq:function(gvn-sink),pass_freq,lite,function(gvn-sink),function,,,0.0014166351731755423,2.4430627995363287e-05,2.19777043935308e-05,29,11
5,pass_freq:function(dse),pass_freq,lite,function(dse),function,,,0.005378938849791879,2.3978919585043722e-05,0.00010421248632433974,23,12
9,pass_freq:function(memcpyopt),pass_freq,lite,function(memcpyopt),function,,,0.002187359727672771,1.7878686100348055e-05,4.3491023030564036e-05,27,13
18,pass_freq:function(lower-switch),pass_freq,lite,function(lower-switch),function,,,0.00011699239658610232,0.0,0.0,30,14
30,scope_ratio:other,scope_ratio,lite,,other,,,0.0,0.0,0.0,31,15
17,pass_freq:loop(loop-simplifycfg),pass_freq,lite,loop(loop-simplifycfg),loop,,,0.006824960531775992,-5.4896835614479114e-08,1.0471985817122106e-05,20,16
3,pass_freq:module(globalopt),pass_freq,lite,module(globalopt),module,,,0.01937721854335064,-1.48278840059083e-05,0.00025242118245781943,14,17
12,pass_freq:function(instsimplify),pass_freq,lite,function(instsimplify),function,,,0.009483687329460809,-3.346474862517407e-05,0.00016718934878333204,18,18
26,scope_ratio:module,scope_ratio,lite,,module,,,0.06872784142352398,-3.5006333881944936e-05,0.0007758736314285525,5,19
25,self_loop_coverage,self_loop,lite,,,,,0.0021760712827810723,-4.868952761154822e-05,5.557099943847666e-05,28,20
6,pass_freq:cgscc(attributor-cgscc),pass_freq,lite,cgscc(attributor-cgscc),cgscc,,,0.002790663521200648,-5.691195417489824e-05,3.4145039116720706e-05,26,21
29,scope_ratio:loop,scope_ratio,lite,,loop,,,0.004883108039184597,-6.739406127338823e-05,4.650614519561751e-05,24,22
16,pass_freq:module(inferattrs),pass_freq,lite,module(inferattrs),module,,,0.009774616834775006,-0.00011205047669235017,0.00011368087017050454,17,23
11,pass_freq:function(dce),pass_freq,lite,function(dce),function,,,0.006442666264557712,-0.00018191605610711864,9.118744247775588e-05,21,24
19,seq_len_ratio,sequence_shape,lite,,,,,0.06739506779389369,-0.00021533654762789166,0.0004133775206800272,6,25
8,pass_freq:module(attributor),pass_freq,lite,module(attributor),module,,,0.01783237195753953,-0.0002305394816837312,0.00016215846933227682,15,26
28,scope_ratio:cgscc,scope_ratio,lite,,cgscc,,,0.007268631886820515,-0.00027172464554674756,9.085003108607157e-05,19,27
7,pass_freq:function(jump-threading),pass_freq,lite,function(jump-threading),function,,,0.005632381598107797,-0.00029329743997171567,0.00023393464505486425,22,28
21,repeat_mass_ratio,sequence_shape,lite,,,,,0.055128259794292825,-0.0004376738172528358,0.00041417319503410106,9,29
1,pass_freq:module(iroutliner),pass_freq,lite,module(iroutliner),module,,,0.02790025919702403,-0.00043818975844644515,0.00020881458486829375,12,30
22,max_repeat_ratio,sequence_shape,lite,,,,,0.06701025728877275,-0.0011139153768749597,0.0006474474159182948,7,31
