feature_group,feature_count,mdi_sum,mdi_mean,permutation_sum,permutation_mean,mdi_rank,permutation_rank
pass_freq,19,0.5314883909309916,0.027973073206894298,0.011638043199883472,0.0006125285894675511,1,1
synergy,1,0.12029875424183167,0.12029875424183167,0.005412783000680268,0.005412783000680268,4,2
scope_ratio,5,0.20286841153761992,0.040573682307523985,0.0017508302070688353,0.00035016604141376706,2,3
sequence_shape,4,0.12044109943874032,0.03011027485968508,0.0008793719337490231,0.00021984298343725577,3,4
self_loop,2,0.024903343850816537,0.012451671925408268,-0.0004507469871759425,-0.00022537349358797126,5,5
