feature_group,feature_count,mdi_sum,mdi_mean,permutation_sum,permutation_mean,mdi_rank,permutation_rank
pass_freq,19,0.33209127277105194,0.01747848804058168,0.019985065302177737,0.001051845542219881,1,1
synergy,1,0.2831504076654885,0.2831504076654885,0.009227399909426877,0.009227399909426877,2,2
sequence_shape,4,0.20186143940586337,0.050465359851465844,0.0021837762264276307,0.0005459440566069077,3,3
scope_ratio,5,0.14797748873742345,0.02959549774748469,0.0020784819210797425,0.0004156963842159485,4,4
self_loop,2,0.03491939142017277,0.017459695710086386,-0.0002209706323091157,-0.00011048531615455785,5,5
