seed,strategy,budget,target_program_count,perprogram_mean_norm,perprogram_worsen_rate,perprogram_objective,perprogram_eval_count,perprogram_candidate_sequence_count,perprogram_target_feedback_eval_count,rfunipass_mean_norm,rfunipass_worsen_rate,rfunipass_objective,rfunipass_eval_count,rfunipass_target_feedback_eval_count,matched_by_mean,matched_by_objective,matched_by_objective_and_worsen,eval_ratio_vs_rfunipass,run_dir,metrics_scope,sweep_manifest_path
456,ga_bitvector,8,50,0.9862390502465737,0.36,1.0402390502465737,400.0,400.0,400.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.009852216748768473,/root/exp/PerProgramAutoTune/results/20260507_153224_466110_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget8,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,ga_bitvector,16,50,0.9674373608565685,0.24,1.0034373608565685,800.0,800.0,800.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.019704433497536946,/root/exp/PerProgramAutoTune/results/20260507_154013_065657_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget16,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,ga_bitvector,30,50,0.9526595456568946,0.18,0.9796595456568946,1500.0,1500.0,1500.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.03694581280788178,/root/exp/PerProgramAutoTune/results/20260507_155513_764054_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget30,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,ga_bitvector,60,50,0.9323255291186562,0.18,0.9593255291186562,3000.0,3000.0,3000.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.07389162561576355,/root/exp/PerProgramAutoTune/results/20260507_194755_795411_poj10_cost_parity_all_with_cfsat_ga_20260507_resume_seed456_budget60_seed456_budget60,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_resume_seed456_budget60.json
456,rio_random,1,50,1.379175994271181,0.84,1.5051759942711809,50.0,50.0,50.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.0012315270935960591,/root/exp/PerProgramAutoTune/results/20260507_152433_638625_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget1,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,rio_random,2,50,1.1768818316569123,0.72,1.2848818316569124,100.0,100.0,100.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.0024630541871921183,/root/exp/PerProgramAutoTune/results/20260507_152557_385163_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget2,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,rio_random,4,50,1.0605311690172305,0.48,1.1325311690172306,200.0,200.0,200.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.0049261083743842365,/root/exp/PerProgramAutoTune/results/20260507_152816_620704_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget4,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,rio_random,8,50,0.9947548092712123,0.34,1.0457548092712123,400.0,400.0,400.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.009852216748768473,/root/exp/PerProgramAutoTune/results/20260507_153224_466110_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget8,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,rio_random,16,50,0.9670829040459663,0.24,1.0030829040459663,800.0,800.0,800.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.019704433497536946,/root/exp/PerProgramAutoTune/results/20260507_154013_065657_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget16,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,rio_random,30,50,0.9512227376030549,0.2,0.9812227376030549,1500.0,1500.0,1500.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.03694581280788178,/root/exp/PerProgramAutoTune/results/20260507_155513_764054_poj10_cost_parity_all_with_cfsat_ga_20260507_seed456_budget30,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_preresume_seed456_budget1_30.json
456,rio_random,60,50,0.9331396006899952,0.18,0.9601396006899953,3000.0,3000.0,3000.0,0.7453366431157349,0.16,0.7693366431157349,40600.0,0.0,False,False,False,0.07389162561576355,/root/exp/PerProgramAutoTune/results/20260507_194755_795411_poj10_cost_parity_all_with_cfsat_ga_20260507_resume_seed456_budget60_seed456_budget60,full_test,results/cost_parity/poj_10seed_full_targets_20260507/perprogram_budget_sweep_poj10_cost_parity_all_with_cfsat_ga_20260507_resume_seed456_budget60.json
