feature_group,seed_count,feature_count_mean,mdi_sum_mean,mdi_sum_ci95_half_width,mdi_sum_ci95_low,mdi_sum_ci95_high,permutation_sum_mean,permutation_sum_ci95_half_width,permutation_sum_ci95_low,permutation_sum_ci95_high,permutation_rank_mean
pass_freq,10,19.0,0.47526437501909824,0.061705378627026464,0.4135589963920718,0.5369697536461246,0.010376628180046837,0.003092580475049243,0.007284047704997594,0.013469208655096081,1
synergy,10,1.0,0.12900604103688454,0.05410825848294267,0.07489778255394186,0.18311429951982722,0.00414989037704164,0.0023573300131054763,0.0017925603639361637,0.006507220390147116,2
scope_ratio,10,5.0,0.1820229883639233,0.0273823846863535,0.1546406036775698,0.20940537305027682,0.0016118765656808465,0.0007134944627787332,0.0008983821029021133,0.00232537102845958,3
sequence_shape,10,4.0,0.17493919572925334,0.03404469639186613,0.1408944993373872,0.20898389212111948,3.861206095828805e-06,0.0008593532290779585,-0.0008554920229821297,0.0008632144351737874,4
self_loop,10,2.0,0.038767399850840635,0.012241070680662778,0.02652632917017786,0.05100847053150341,-0.00014548799704939457,0.0003178161330807837,-0.0004633041301301783,0.00017232813603138914,5
