rank_by_validation,seed,split_seed,validation_obj,validation_mean_norm,validation_improvement_vs_oz,test_obj,test_mean_norm,test_improvement_vs_oz,test_worsen_rate,final_length,runtime_s,run_id
10,456,456,0.830036398220476,0.8135363982204761,18.646360177952392,0.8169761270189971,0.7929761270189971,20.702387298100287,0.16,11,1764.742169,20260423_181846_349217_feature_lite_seed456
9,457,457,0.8134079782915891,0.7879079782915891,21.209202170841092,0.7517219417979357,0.7397219417979357,26.027805820206428,0.08,15,2715.269167,20260423_184811_146360_feature_lite_seed457
4,458,458,0.743221670685424,0.732721670685424,26.727832931457595,0.8222259570360293,0.7952259570360293,20.477404296397072,0.18,20,3635.987266,20260423_193326_468019_feature_lite_seed458
7,459,459,0.7846257352210958,0.7681257352210958,23.187426477890416,0.8470259887756421,0.829025988775642,17.097401122435794,0.12,11,972.137432,20260423_203402_518521_feature_lite_seed459
2,460,460,0.7295429474280276,0.7235429474280276,27.64570525719724,0.7257104433807446,0.7167104433807446,28.328955661925537,0.06,15,1573.826253,20260423_205014_703926_feature_lite_seed460
3,461,461,0.7352891000176824,0.7292891000176824,27.071089998231756,0.8807823370743392,0.8597823370743392,14.021766292566085,0.14,18,1484.73671,20260423_211628_575222_feature_lite_seed461
5,462,462,0.7448130524571981,0.7358130524571981,26.418694754280192,0.7195308234020034,0.7105308234020034,28.946917659799666,0.06,14,1959.840338,20260423_214113_355045_feature_lite_seed462
1,463,463,0.671048338384954,0.6635483383849541,33.64516616150459,0.7131751685679732,0.7101751685679732,28.982483143202675,0.02,22,3051.244065,20260423_221353_240005_feature_lite_seed463
8,464,464,0.7952243355633702,0.7772243355633702,22.277566443662977,0.8517865791940212,0.8367865791940212,16.32134208059788,0.1,8,912.437623,20260423_230444_536999_feature_lite_seed464
6,465,465,0.7642383255595543,0.7507383255595543,24.926167444044566,0.7486617390981991,0.7456617390981991,25.43382609018009,0.02,14,1356.551066,20260423_231957_016941_feature_lite_seed465
