selection_split,counterfactual_split,pass_name,mutation,status,error,original_objective,mutated_objective,delta_objective,original_mean_norm,mutated_mean_norm,delta_mean_norm,original_worsen_rate,mutated_worsen_rate,delta_worsen_rate,mutated_sequence
validation,selection,module(scc-oz-module-inliner),delete_first,ok,,0.704801412439076,0.7061095737732347,0.001308161334158675,0.695801412439076,0.6971095737732347,0.001308161334158675,0.06,0.06,0.0,"[np.str_('module(elim-avail-extern)'), np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)')]"
validation,selection,module(scc-oz-module-inliner),delete_all,ok,,0.704801412439076,1.332739746872671,0.6279383344335949,0.695801412439076,1.223239746872671,0.527438334433595,0.06,0.73,0.6699999999999999,"[np.str_('module(elim-avail-extern)'), np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(iroutliner)', 'module(attributor)', np.str_('module(attributor)'), np.str_('function(newgvn)')]"
validation,selection,module(scc-oz-module-inliner),duplicate_after_first,ok,,0.704801412439076,0.704801412439076,0.0,0.695801412439076,0.695801412439076,0.0,0.06,0.06,0.0,"[np.str_('module(elim-avail-extern)'), np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(scc-oz-module-inliner)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)')]"
validation,selection,module(scc-oz-module-inliner),append_once,ok,,0.704801412439076,0.704801412439076,0.0,0.695801412439076,0.695801412439076,0.0,0.06,0.06,0.0,"[np.str_('module(elim-avail-extern)'), np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)'), 'module(scc-oz-module-inliner)']"
validation,selection,module(elim-avail-extern),delete_first,ok,,0.704801412439076,1.026027288652702,0.32122587621362597,0.695801412439076,0.9630272886527019,0.2672258762136259,0.06,0.42,0.36,"[np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)')]"
validation,selection,module(elim-avail-extern),duplicate_after_first,ok,,0.704801412439076,0.704801412439076,0.0,0.695801412439076,0.695801412439076,0.0,0.06,0.06,0.0,"[np.str_('module(elim-avail-extern)'), 'module(elim-avail-extern)', np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)')]"
validation,selection,module(elim-avail-extern),append_once,ok,,0.704801412439076,0.704801412439076,0.0,0.695801412439076,0.695801412439076,0.0,0.06,0.06,0.0,"[np.str_('module(elim-avail-extern)'), np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)'), 'module(elim-avail-extern)']"
validation,selection,function(jump-threading),append_once,ok,,0.704801412439076,0.704801412439076,0.0,0.695801412439076,0.695801412439076,0.0,0.06,0.06,0.0,"[np.str_('module(elim-avail-extern)'), np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)'), 'function(jump-threading)']"
validation,selection,function(mem2reg),append_once,ok,,0.704801412439076,0.704801412439076,0.0,0.695801412439076,0.695801412439076,0.0,0.06,0.06,0.0,"[np.str_('module(elim-avail-extern)'), np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)'), 'function(mem2reg)']"
validation,selection,function(reassociate),append_once,ok,,0.704801412439076,0.7100671406315365,0.005265728192460517,0.695801412439076,0.6965671406315366,0.0007657281924605686,0.06,0.09,0.03,"[np.str_('module(elim-avail-extern)'), np.str_('module(attributor)'), np.str_('module(iroutliner)'), np.str_('function(dse)'), np.str_('function(newgvn)'), np.str_('module(iroutliner)'), np.str_('module(globalopt)'), 'function(gvn-sink)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(iroutliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), np.str_('module(attributor)'), np.str_('module(scc-oz-module-inliner)'), np.str_('function(newgvn)'), np.str_('module(scc-oz-module-inliner)'), 'function(reassociate)']"
