feature_group,feature_count,mdi_sum,mdi_mean,permutation_sum,permutation_mean,mdi_rank,permutation_rank
pass_freq,19,0.4638870291619684,0.024415106797998336,0.008201845867719966,0.00043167609830105087,1,1
scope_ratio,5,0.22335400539972156,0.04467080107994431,0.0019995873569085905,0.0003999174713817181,3,2
synergy,1,0.048171419057939764,0.048171419057939764,0.00045582645005072775,0.00045582645005072775,4,3
self_loop,2,0.0204302765661715,0.01021513828308575,-0.0002689119416196872,-0.0001344559708098436,5,4
sequence_shape,4,0.24415726981419886,0.061039317453549714,-0.00039732418936719045,-9.933104734179761e-05,2,5
