feature_group,feature_count,mdi_sum,mdi_mean,permutation_sum,permutation_mean,mdi_rank,permutation_rank
pass_freq,19,0.5635667980455079,0.029661410423447786,0.010923684097094086,0.0005749307419523203,1,1
synergy,1,0.06248692092796515,0.06248692092796515,0.002119105817349073,0.002119105817349073,4,2
scope_ratio,5,0.18673576178446524,0.03734715235689305,0.001359727582880135,0.000271945516576027,2,3
sequence_shape,4,0.14578888565991077,0.03644722141497769,0.0008571022003153107,0.00021427555007882767,3,4
self_loop,2,0.04142163358215104,0.02071081679107552,0.0003599646406701971,0.00017998232033509856,5,5
