feature_index,feature_name,feature_group,feature_mode,pass_name,scope,edge_source,edge_target,mdi_importance,permutation_mean,permutation_std,mdi_rank,permutation_rank
0,pass_freq:module(elim-avail-extern),pass_freq,lite,module(elim-avail-extern),module,,,0.22540377030539452,0.005749500414355014,0.0013688412235223996,1,1
1,pass_freq:module(globalopt),pass_freq,lite,module(globalopt),module,,,0.10904517859609901,0.002803167315666088,0.0007172016871196887,3,2
9,pass_freq:module(scc-oz-module-inliner),pass_freq,lite,module(scc-oz-module-inliner),module,,,0.11857967719106234,0.0024903062703372876,0.00131327020056448,2,3
23,synergy_rate,synergy,lite,,,,,0.06248692092796515,0.002119105817349073,0.0006472324497379387,7,4
27,scope_ratio:function,scope_ratio,lite,,function,,,0.09354109929329552,0.0007813193591274658,0.00030090043001090524,4,5
19,seq_len_ratio,sequence_shape,lite,,,,,0.08120983200165578,0.0007466774030668034,0.00036969991329643205,5,6
26,scope_ratio:module,scope_ratio,lite,,module,,,0.06263394282679016,0.0005244949777294782,0.0004904484342121761,6,7
24,self_loop_hit_rate,self_loop,lite,,,,,0.028226780568359373,0.0003032319729858022,0.00018219562414620267,8,8
12,pass_freq:function(mem2reg),pass_freq,lite,function(mem2reg),function,,,0.01057862354771165,0.0001069179993019833,0.00011364477374537178,17,9
21,repeat_mass_ratio,sequence_shape,lite,,,,,0.0209508179088442,9.549039463636376e-05,0.00011530409525986234,10,10
13,pass_freq:module(inferattrs),pass_freq,lite,module(inferattrs),module,,,0.004948906373716844,6.713624033439139e-05,9.152579710269607e-05,26,11
25,self_loop_coverage,self_loop,lite,,,,,0.013194853013791667,5.6732667684394886e-05,0.00016589201745252592,14,12
22,max_repeat_ratio,sequence_shape,lite,,,,,0.023990976040132124,3.843779833042314e-05,0.0001661838975609649,9,13
7,pass_freq:function(memcpyopt),pass_freq,lite,function(memcpyopt),function,,,0.005914507582867896,3.731438849977993e-05,3.582174123131337e-05,24,14
3,pass_freq:function(gvn-hoist),pass_freq,lite,function(gvn-hoist),function,,,0.007350724112450265,3.434428947759974e-05,4.717488589033167e-05,22,15
8,pass_freq:function(jump-threading),pass_freq,lite,function(jump-threading),function,,,0.008442772537875372,3.085663693054054e-05,8.404365727798237e-05,20,16
29,scope_ratio:loop,scope_ratio,lite,,loop,,,0.014979086683506872,2.762001224359302e-05,7.650630312707848e-05,13,17
28,scope_ratio:cgscc,scope_ratio,lite,,cgscc,,,0.015581632980872706,2.6293233779598e-05,9.261877509810933e-05,12,18
30,scope_ratio:other,scope_ratio,lite,,other,,,0.0,0.0,0.0,31,19
10,pass_freq:function(newgvn),pass_freq,lite,function(newgvn),function,,,0.010640807856180962,-5.6321556257057575e-06,6.850578022564963e-05,16,20
18,pass_freq:function(lower-switch),pass_freq,lite,function(lower-switch),function,,,0.0107625458095738,-6.082388859741938e-06,7.690536670142684e-05,15,21
17,pass_freq:loop(loop-simplifycfg),pass_freq,lite,loop(loop-simplifycfg),loop,,,0.002075053077494677,-6.3174272172853745e-06,2.325516846704364e-05,30,22
5,pass_freq:module(iroutliner),pass_freq,lite,module(iroutliner),module,,,0.009759690512262914,-1.1918350631587565e-05,7.076984894995424e-05,18,23
15,pass_freq:function(dce),pass_freq,lite,function(dce),function,,,0.00318564370235087,-2.307668420126344e-05,2.9526500897865914e-05,29,24
20,pass_coverage,sequence_shape,lite,,,,,0.01963725970927866,-2.3503395718279652e-05,6.071637780332478e-05,11,25
2,pass_freq:cgscc(attributor-cgscc),pass_freq,lite,cgscc(attributor-cgscc),cgscc,,,0.0040814184227355435,-3.115859335267339e-05,1.828783323050427e-05,27,26
14,pass_freq:function(dse),pass_freq,lite,function(dse),function,,,0.003878925363222623,-3.566788379674099e-05,4.133820189722336e-05,28,27
4,pass_freq:function(reassociate),pass_freq,lite,function(reassociate),function,,,0.005941219831113031,-3.975692021267116e-05,7.954048786329595e-05,23,28
11,pass_freq:module(attributor),pass_freq,lite,module(attributor),module,,,0.005208994000675939,-5.442822950786274e-05,7.093405716819285e-05,25,29
6,pass_freq:function(instsimplify),pass_freq,lite,function(instsimplify),function,,,0.008209102927930895,-6.547816252074389e-05,0.00010280681305300252,21,30
16,pass_freq:function(gvn-sink),pass_freq,lite,function(gvn-sink),function,,,0.009559236294788729,-0.00011634266188231936,7.500051844372052e-05,19,31
