feature_group,feature_count,mdi_sum,mdi_mean,permutation_sum,permutation_mean,mdi_rank,permutation_rank
pass_freq,19,0.391174252903823,0.02058811857388542,0.009739730040531075,0.0005126173705542671,1,1
synergy,1,0.11007117241069041,0.11007117241069041,0.0054997805440163815,0.0054997805440163815,4,2
sequence_shape,4,0.2094354837728261,0.05235887094320652,0.002747699377466466,0.0006869248443666164,3,3
scope_ratio,5,0.22033998063732887,0.04406799612746577,0.0017449238828705848,0.00034898477657411696,2,4
self_loop,2,0.06897911027533159,0.034489555137665794,-0.00040562099562588115,-0.00020281049781294057,5,5
